,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,y
0,1,457.4320000000001,7,3,7,202.32,-0.77
1,1,201.225,1,2,2,42.24,-3.3
2,1,152.237,0,0,4,17.07,-2.06
3,2,278.354,0,5,0,0.0,-7.87
4,2,84.14299999999999,0,1,0,0.0,-1.33
5,2,135.191,0,2,0,12.89,-1.5
6,1,326.437,0,2,1,0.0,-7.32
7,1,272.388,2,4,0,40.46,-5.03
8,1,380.913,0,5,0,12.53,-6.29
9,1,394.4230000000002,0,5,3,63.22,-4.42
10,1,85.10600000000001,1,1,0,29.1,1.07
11,1,162.61899999999997,0,2,0,0.0,-4.14
12,1,70.135,0,0,2,0.0,-2.68
13,1,218.256,2,2,2,58.2,-2.64
14,1,198.39399999999995,0,0,11,0.0,-7.96
15,1,78.542,0,0,0,0.0,-1.41
16,1,88.14999999999999,1,0,2,20.23,-0.47
17,1,103.12399999999997,0,1,0,23.79,-1.0
18,1,304.35200000000003,0,1,7,53.47,-3.64
19,1,172.312,1,0,8,20.23,-2.94
20,1,326.437,0,2,1,0.0,-7.43
21,1,234.29899999999995,1,3,1,54.86,-4.593999999999999
22,1,260.386,0,0,8,18.46,-4.11
23,1,179.219,1,1,3,38.33,-2.35
24,1,322.243,1,1,5,115.54000000000002,-5.47
25,1,116.204,1,0,5,20.23,-1.81
26,1,180.167,1,2,0,72.68,-1.39
27,1,212.249,2,1,4,75.27000000000001,-1.661
28,1,318.0300000000001,0,2,2,0.0,-6.9
29,1,158.241,0,0,6,26.3,-3.17
30,1,134.22199999999998,0,1,2,0.0,-3.75
31,1,288.44,0,0,7,18.46,-4.755
32,1,300.314,2,2,3,76.66,-4.805
33,1,96.944,0,0,0,0.0,-1.64
34,1,180.25000000000003,0,3,0,0.0,-5.22
35,1,86.13399999999999,0,0,3,17.07,-0.85
36,2,169.227,1,2,2,12.03,-3.504
37,1,253.367,0,1,6,29.540000000000003,-3.927
38,1,353.4900000000001,0,1,9,38.77,-4.15
39,1,226.101,0,0,5,0.0,-4.81
40,1,188.657,0,2,1,0.0,-4.88
41,1,86.134,1,0,3,20.23,-0.15
42,1,168.15200000000002,2,2,0,75.27,-1.655
43,1,156.269,1,1,1,20.23,-2.53
44,1,88.106,0,0,2,26.3,-0.63
45,1,116.20399999999998,1,0,4,20.23,-1.55
46,1,214.062,1,1,1,29.1,-3.083
47,1,266.098,1,2,1,60.91,-3.127
48,1,346.33900000000017,1,2,4,107.77,-4.76
49,1,157.216,0,2,0,12.89,-1.94
50,1,110.2,0,0,4,0.0,-3.66
51,1,236.27099999999996,2,2,2,75.27000000000001,-2.17
52,2,228.294,0,4,0,0.0,-8.057
53,1,261.119,1,1,2,54.86,-2.523
54,1,360.88200000000006,0,2,1,0.0,-8.6
55,1,108.14,1,1,0,20.23,-0.62
56,1,128.259,0,0,2,0.0,-5.05
57,1,156.228,0,2,0,0.0,-4.14
58,1,242.321,0,4,0,0.0,-6.57
59,1,86.13399999999999,0,0,2,17.07,-0.19
60,1,429.77200000000016,0,2,1,0.0,-9.15
61,1,116.15999999999998,0,0,3,26.3,-0.82
62,1,394.43900000000014,4,4,2,115.06000000000002,-3.68
63,1,109.128,2,1,0,46.25,-0.8
64,1,260.253,1,2,5,90.06,-2.81
65,1,366.84400000000016,1,4,2,54.37,-5.931
66,1,229.715,1,1,5,53.940000000000005,-4.06
67,1,123.11499999999998,1,1,1,68.87,-0.667
68,1,237.097,2,0,3,72.19,-2.68
69,1,223.102,0,2,1,0.0,-5.27
70,1,238.159,1,2,3,118.04999999999998,-3.38
71,1,284.098,0,2,3,52.37,-5.46
72,1,152.237,0,2,0,17.07,-1.96
73,1,244.25,2,2,3,75.27000000000001,-2.369
74,1,130.18699999999998,0,0,4,26.3,-2.25
75,1,130.18699999999998,0,0,3,26.3,-1.92
76,1,380.444,1,3,8,75.71,-5.886
77,1,257.547,0,2,1,0.0,-6.01
78,1,122.993,0,0,1,0.0,-1.73
79,1,342.2260000000001,0,3,5,49.17,-3.4930000000000003
80,1,257.273,0,0,6,55.84,-1.995
81,1,146.15299999999996,0,2,0,51.56,-0.466
82,1,76.12400000000001,2,0,0,52.04,0.32
83,1,106.168,0,1,0,0.0,-2.77
84,1,134.22199999999998,0,1,2,0.0,-3.28
85,1,236.74,0,0,0,0.0,-3.67
86,1,451.4690000000001,0,3,9,68.55000000000001,-6.876
87,1,89.09399999999998,0,0,2,43.14,-0.8
88,1,154.253,0,1,1,17.07,-2.35
89,1,273.723,1,3,1,45.23,-5.36
90,1,192.00100000000003,0,1,1,43.14,-3.48
91,1,254.355,2,1,5,58.2,-3.46
92,2,202.256,0,4,0,0.0,-6.0
93,1,102.17699999999998,0,0,3,9.23,-1.34
94,1,156.22799999999998,0,2,0,0.0,-4.29
95,1,268.356,2,2,4,40.46,-4.07
96,1,265.914,0,1,0,47.58,-5.64
97,1,291.992,0,2,1,0.0,-7.25
98,2,120.15099999999995,0,2,1,12.53,-1.6
99,1,120.19499999999996,0,1,1,0.0,-3.27
100,1,330.4680000000001,1,4,2,54.370000000000005,-3.45
101,1,267.93,0,2,0,25.78,-5.43
102,1,150.13,4,1,0,90.15,0.39
103,1,84.93299999999999,0,0,0,0.0,-0.63
104,1,156.22799999999998,0,2,1,0.0,-4.17
105,1,60.05200000000001,0,0,1,26.3,0.58
106,1,139.11,1,1,1,63.37,-1.74
107,1,126.115,2,1,0,65.72,-1.506
108,1,58.124,0,0,0,0.0,-2.55
109,1,268.22900000000004,4,3,2,133.75,-1.23
110,1,370.915,1,1,0,44.02,-3.61
111,1,327.1230000000001,2,2,3,92.47,-4.7
112,1,72.151,0,0,2,0.0,-3.18
113,1,94.113,1,1,0,20.23,0.0
114,1,193.249,1,3,0,26.02,-5.17
115,1,180.167,1,2,0,72.68,-2.523
116,2,129.16199999999998,0,2,0,12.89,-1.45
117,1,367.86,0,1,7,38.77,-4.432
118,1,162.276,0,1,5,0.0,-5.21
119,1,188.657,0,2,1,0.0,-4.54
120,1,84.16199999999999,0,0,2,0.0,-3.03
121,1,114.232,0,0,2,0.0,-4.8
122,1,250.339,0,1,0,0.0,-5.65
123,1,139.11,1,1,1,63.37,-1.01
124,1,140.26999999999998,0,0,7,0.0,-5.51
125,1,218.205,0,0,5,78.9,-0.6
126,1,209.293,1,1,4,49.25000000000001,-2.24
127,1,434.29400000000015,0,3,6,59.32000000000001,-7.337000000000001
128,2,79.10199999999998,0,1,0,12.89,0.76
129,1,179.101,0,0,5,0.0,-4.43
130,1,107.156,0,1,0,12.89,0.36
131,1,380.4560000000001,3,4,2,94.83,-3.43
132,1,225.313,1,1,4,38.33,-2.09
133,1,160.16899999999998,0,0,4,52.60000000000001,-0.82
134,1,136.238,0,1,1,0.0,-4.26
135,2,118.17899999999996,0,2,0,0.0,-3.04
136,1,150.22099999999998,1,1,0,20.23,-2.41
137,1,154.125,2,2,0,75.27,-1.886
138,1,238.455,0,1,0,0.0,-3.55
139,1,207.07,0,2,0,0.0,-4.35
140,1,70.135,0,0,1,0.0,-2.54
141,1,107.156,0,1,0,12.89,0.45
142,1,131.389,0,0,0,0.0,-1.96
143,1,143.189,1,2,0,26.02,-1.92
144,1,106.168,0,1,0,0.0,-2.82
145,1,148.125,1,2,0,71.79,-1.947
146,1,32.042,1,0,0,20.23,1.57
147,1,226.276,2,1,4,75.27000000000001,-2.468
